,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
49,50,0.51495,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34167; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4167.0,Write,Multiple,Coils,0.0003710000000000102,
50,51,0.515424,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34168; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4168.0,Read,Input,Registers,0.00047399999999997444,0.0008390000000000342
51,52,0.515789,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34168; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4168.0,Read,Input,Registers,0.0003650000000000597,
52,53,0.516392,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34169; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4169.0,Read,Holding,Registers,0.0006029999999999092,0.0009339999999999904
53,54,0.516723,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34169; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4169.0,Read,Holding,Registers,0.00033100000000008123,
54,55,0.517075,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34170; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4170.0,Write,Multiple,Registers,0.00035199999999990794,0.0006599999999999939
55,56,0.517383,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34170; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4170.0,Write,Multiple,Registers,0.000308000000000086,
56,57,0.617355,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34171; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4171.0,Read,Discrete,Inputs,0.09997199999999995,0.10051100000000002
57,58,0.617894,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34171; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4171.0,Read,Discrete,Inputs,0.0005390000000000672,
58,59,0.618543,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34172; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4172.0,Write,Multiple,Coils,0.0006489999999998997,0.0010159999999999059
59,60,0.61891,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34172; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4172.0,Write,Multiple,Coils,0.0003670000000000062,
60,61,0.619366,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34173; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4173.0,Read,Input,Registers,0.00045600000000001195,0.0008259999999999934
61,62,0.619736,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34173; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4173.0,Read,Input,Registers,0.00036999999999998145,
62,63,0.620314,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34174; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4174.0,Read,Holding,Registers,0.0005780000000000785,0.0009050000000000447
63,64,0.620641,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34174; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4174.0,Read,Holding,Registers,0.0003269999999999662,
64,65,0.62099,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34175; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4175.0,Write,Multiple,Registers,0.0003490000000000437,0.0006699999999999484
65,66,0.621311,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34175; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4175.0,Write,Multiple,Registers,0.0003209999999999047,
67,68,0.72138,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34176; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4176.0,Read,Discrete,Inputs,0.10006900000000007,0.10074300000000003
68,69,0.722054,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34176; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4176.0,Read,Discrete,Inputs,0.0006739999999999524,
69,70,0.722553,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34177; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4177.0,Write,Multiple,Coils,0.0004990000000000272,0.0010950000000000681
70,71,0.723149,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34177; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4177.0,Write,Multiple,Coils,0.0005960000000000409,
71,72,0.723542,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34178; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4178.0,Read,Input,Registers,0.0003929999999999767,0.0008519999999999639
72,73,0.724001,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34178; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4178.0,Read,Input,Registers,0.0004589999999999872,
73,74,0.724485,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34179; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4179.0,Read,Holding,Registers,0.00048400000000003995,0.0008620000000000294
74,75,0.724863,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34179; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4179.0,Read,Holding,Registers,0.00037799999999998946,
75,76,0.72521,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34180; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4180.0,Write,Multiple,Registers,0.0003469999999999862,0.0007369999999999877
76,77,0.7256,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34180; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4180.0,Write,Multiple,Registers,0.00039000000000000146,
77,78,0.825272,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34181; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4181.0,Read,Discrete,Inputs,0.09967199999999998,0.10019999999999996
78,79,0.8258,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34181; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4181.0,Read,Discrete,Inputs,0.0005279999999999729,
79,80,0.825921,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34182; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4182.0,Write,Multiple,Coils,0.00012100000000003774,0.0004830000000000112
80,81,0.826283,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34182; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4182.0,Write,Multiple,Coils,0.00036199999999997345,
81,82,0.826373,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34183; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4183.0,Read,Input,Registers,9.00000000000345e-05,0.0010630000000000361
82,83,0.827346,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34183; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4183.0,Read,Input,Registers,0.0009730000000000016,
83,84,0.827452,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34184; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4184.0,Read,Holding,Registers,0.00010599999999993948,0.0004979999999999984
84,85,0.827844,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34184; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4184.0,Read,Holding,Registers,0.00039200000000005897,
85,86,0.827949,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34185; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4185.0,Write,Multiple,Registers,0.00010500000000002174,0.0004089999999999927
86,87,0.828253,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34185; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4185.0,Write,Multiple,Registers,0.00030399999999997096,
87,88,0.928381,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34186; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4186.0,Read,Discrete,Inputs,0.100128,0.11410299999999995
88,89,0.942356,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34186; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4186.0,Read,Discrete,Inputs,0.01397499999999996,
89,90,0.942726,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34187; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4187.0,Write,Multiple,Coils,0.00036999999999998145,0.0008940000000000614
90,91,0.94325,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34187; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4187.0,Write,Multiple,Coils,0.00052400000000008,
91,92,0.943537,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34188; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4188.0,Read,Input,Registers,0.0002869999999999262,0.0006760000000000099
92,93,0.943926,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34188; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4188.0,Read,Input,Registers,0.0003890000000000837,
93,94,0.944249,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34189; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4189.0,Read,Holding,Registers,0.0003229999999999622,0.0006739999999999524
94,95,0.9446,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34189; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4189.0,Read,Holding,Registers,0.0003509999999999902,
95,96,0.944919,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34190; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4190.0,Write,Multiple,Registers,0.0003189999999999582,0.0006439999999999779
96,97,0.945244,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34190; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4190.0,Write,Multiple,Registers,0.0003250000000000197,
97,98,1.045463,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34191; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4191.0,Read,Discrete,Inputs,0.10021900000000006,0.10080500000000003
98,99,1.046049,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34191; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4191.0,Read,Discrete,Inputs,0.0005859999999999754,
99,100,1.046455,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34192; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4192.0,Write,Multiple,Coils,0.00040599999999990644,0.0009410000000000807
100,101,1.04699,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34192; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4192.0,Write,Multiple,Coils,0.0005350000000001742,
101,102,1.047177,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34193; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4193.0,Read,Input,Registers,0.00018699999999993722,0.0006990000000000052
102,103,1.047689,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34193; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4193.0,Read,Input,Registers,0.000512000000000068,
103,104,1.047918,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34194; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4194.0,Read,Holding,Registers,0.0002289999999998127,0.0006889999999999397
104,105,1.048378,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34194; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4194.0,Read,Holding,Registers,0.000460000000000127,
105,106,1.048606,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34195; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4195.0,Write,Multiple,Registers,0.00022799999999989495,0.0006869999999998821
106,107,1.049065,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34195; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4195.0,Write,Multiple,Registers,0.0004589999999999872,
107,108,1.148462,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34196; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4196.0,Read,Discrete,Inputs,0.09939700000000018,0.10031000000000012
108,109,1.149375,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34196; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4196.0,Read,Discrete,Inputs,0.0009129999999999416,
109,110,1.150025,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34197; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4197.0,Write,Multiple,Coils,0.0006500000000000394,0.0014000000000000679
110,111,1.150775,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34197; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4197.0,Write,Multiple,Coils,0.0007500000000000284,
111,112,1.151253,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34198; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4198.0,Read,Input,Registers,0.00047799999999997844,0.0011079999999998869
112,113,1.151883,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34198; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4198.0,Read,Input,Registers,0.0006299999999999084,
113,114,1.152366,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34199; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4199.0,Read,Holding,Registers,0.0004830000000000112,0.001092000000000093
114,115,1.152975,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34199; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4199.0,Read,Holding,Registers,0.0006090000000000817,
115,116,1.153312,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34200; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4200.0,Write,Multiple,Registers,0.0003369999999998097,0.0009599999999998499
116,117,1.153935,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34200; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4200.0,Write,Multiple,Registers,0.0006230000000000402,
117,118,1.253503,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34201; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4201.0,Read,Discrete,Inputs,0.0995680000000001,0.10013700000000014
118,119,1.254072,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34201; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4201.0,Read,Discrete,Inputs,0.0005690000000000417,
119,120,1.254581,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34202; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4202.0,Write,Multiple,Coils,0.0005089999999998707,0.0008629999999998361
120,121,1.254935,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34202; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4202.0,Write,Multiple,Coils,0.00035399999999996545,
121,122,1.255198,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34203; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4203.0,Read,Input,Registers,0.00026300000000012425,0.0005740000000000745
122,123,1.255509,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34203; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4203.0,Read,Input,Registers,0.0003109999999999502,
