,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
1,2,0.000267,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34144; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4144.0,Read,Holding,Registers,,
2,3,0.000806,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34144; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4144.0,Read,Holding,Registers,0.000539,
3,4,0.001045,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34145; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4145.0,Write,Multiple,Registers,0.00023899999999999995,
4,5,0.001521,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34145; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4145.0,Write,Multiple,Registers,0.0004760000000000001,
5,6,0.10145,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34146; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4146.0,Read,Discrete,Inputs,0.099929,0.100736
6,7,0.102257,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34146; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4146.0,Read,Discrete,Inputs,0.0008070000000000022,
7,8,0.102926,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34147; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4147.0,Write,Multiple,Coils,0.0006690000000000029,0.001240000000000005
8,9,0.103497,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34147; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4147.0,Write,Multiple,Coils,0.0005710000000000021,
9,10,0.103806,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34148; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4148.0,Read,Input,Registers,0.00030899999999998984,0.0007179999999999964
10,11,0.104215,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34148; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4148.0,Read,Input,Registers,0.0004090000000000066,
11,12,0.104555,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34149; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4149.0,Read,Holding,Registers,0.0003399999999999931,0.000792000000000001
12,13,0.105007,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34149; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4149.0,Read,Holding,Registers,0.00045200000000000795,
13,14,0.105348,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34150; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4150.0,Write,Multiple,Registers,0.0003409999999999941,0.0007640000000000008
14,15,0.105771,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34150; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4150.0,Write,Multiple,Registers,0.0004230000000000067,
15,16,0.205241,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34151; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4151.0,Read,Discrete,Inputs,0.09947,0.09996
16,17,0.205731,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34151; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4151.0,Read,Discrete,Inputs,0.0004899999999999904,
17,18,0.20585,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34152; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4152.0,Write,Multiple,Coils,0.00011900000000000799,0.00040100000000001246
18,19,0.206132,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34152; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4152.0,Write,Multiple,Coils,0.00028200000000000447,
19,20,0.20622,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34153; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4153.0,Read,Input,Registers,8.799999999997699e-05,0.00036899999999998045
20,21,0.206501,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34153; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4153.0,Read,Input,Registers,0.00028100000000000347,
21,22,0.206592,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34154; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4154.0,Read,Holding,Registers,9.100000000000774e-05,0.0003620000000000012
22,23,0.206863,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34154; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4154.0,Read,Holding,Registers,0.00027099999999999347,
23,24,0.206946,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34155; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4155.0,Write,Multiple,Registers,8.299999999999974e-05,0.00035400000000002096
24,25,0.207217,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34155; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4155.0,Write,Multiple,Registers,0.0002710000000000212,
25,26,0.307318,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34156; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4156.0,Read,Discrete,Inputs,0.10010099999999997,0.10064500000000001
26,27,0.307862,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34156; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4156.0,Read,Discrete,Inputs,0.0005440000000000444,
27,28,0.308114,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34157; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4157.0,Write,Multiple,Coils,0.00025199999999997447,0.0006379999999999719
28,29,0.3085,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34157; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4157.0,Write,Multiple,Coils,0.00038599999999999746,
29,30,0.30872,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34158; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4158.0,Read,Input,Registers,0.00021999999999999797,0.0006789999999999852
30,31,0.309179,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34158; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4158.0,Read,Input,Registers,0.0004589999999999872,
31,32,0.309429,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34159; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4159.0,Read,Holding,Registers,0.000250000000000028,0.0006260000000000154
32,33,0.309805,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34159; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4159.0,Read,Holding,Registers,0.00037599999999998746,
33,34,0.310045,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34160; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4160.0,Write,Multiple,Registers,0.00024000000000001798,0.0006160000000000054
34,35,0.310421,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34160; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4160.0,Write,Multiple,Registers,0.00037599999999998746,
35,36,0.410433,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34161; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4161.0,Read,Discrete,Inputs,0.10001199999999999,0.10056999999999999
36,37,0.410991,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34161; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4161.0,Read,Discrete,Inputs,0.0005580000000000029,
37,38,0.411503,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34162; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4162.0,Write,Multiple,Coils,0.0005120000000000124,0.0008420000000000094
38,39,0.411833,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34162; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,4162.0,Write,Multiple,Coils,0.00032999999999999696,
39,40,0.412107,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34163; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,4163.0,Read,Input,Registers,0.00027399999999999647,0.0005970000000000142
40,41,0.41243,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34163; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,4163.0,Read,Input,Registers,0.0003230000000000177,
41,42,0.412758,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34164; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,4164.0,Read,Holding,Registers,0.00032799999999999496,0.0006999999999999784
42,43,0.41313,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 34164; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,4164.0,Read,Holding,Registers,0.00037199999999998346,
43,44,0.41347,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 34165; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,4165.0,Write,Multiple,Registers,0.00034000000000000696,0.0006900000000000239
44,45,0.41382,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 34165; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,4165.0,Write,Multiple,Registers,0.00035000000000001696,
46,47,0.513346,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 34166; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,4166.0,Read,Discrete,Inputs,0.09952599999999995,0.10008800000000001
47,48,0.513908,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 34166; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,4166.0,Read,Discrete,Inputs,0.0005620000000000624,
48,49,0.514579,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 34167; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,4167.0,Write,Multiple,Coils,0.0006709999999999772,0.0010419999999999874
